final_text,sentiment
wonderful product really enjoyed sound quality superb actually feel music feel beat well good product price really loved itread,0
good purchase price best bluetooth available low budget,0
nice read,0
work fine laptop well mobile ear aching using even half hour could much softer good occasional use cant watch full movie feel pain outer,0
good product price valuable money,0
niceread,0
awesome fast amazed switched headphone amazing headphone better brand even good product read,0
please dont buy cushion not u want comfortable cushion pls buy sony headsetread,1
wonderful brand money wortgread,0
thik thak bluetooth connectivity,1
awesome product price range obviously boat make big lead toocan gifted giftread,0
not comfortable not use long timeread,1
break sound headphone work fine headband top weak recommended buy little higher model insteadread,1
recieved defective product not getting charged not able turn device not accepting return bad experienceread,1
rocking charger cable plugged hdph struggling task unplug took min time unplug grey neon yellownot green picture loved itill definitely recommend,0
sahi per not excellentread,1
voice not clear range issue within,1
superb loud powerfull bassread,0
nice sound leakage min youll feel pain earread,1
not soft cant wear longer minsrough cushion ear overall good performance poor build quality better buy bullet though r,1
product good using yearthe battery min standardread,0
r high hour getting pain,1
headband broke without major pressure applied,1
doesnt work month get no warranty flipkartwaste money timeread,1
good product priceread,0
week bluetooth not workingread,1
awesome read,0
sound quality nice earpads directly sit ear cause pain sometime around ear design doesnt put pressure ear would,1
going goodread,0
mic not working call person not able hearread,1
not suitable call getting lot noice not able hear audio clearly side not good call good enough musicread,1
review product followingsound qualityit good sound quality great bass even maximum volume headphone start vibrating ear vibrates due good bass effect sweet tone supressed fan sweet clear music product little disapointed ar fan rock jazz ang high bass music great cancellationwell noise cancelation good listner,0
tight paining min usage compatability mobile phone not good tried zenfone pro honor view mobile volume button not working expected button always changing song call clarity actually worst tried almost different device voice always get disconnected good point see audio quality bass good listening,1
nic productread,0
everything good cannot hear caller also caller cant hear properly feature excellent recommend music not calling purposeread,1
battery not hr real fact battery hrread,1
wow read,1
amazing product read,0
awesome product sound quality good like,0
wired wireless option,0
volume not work proper,1
bass amazing sound not cristal clear loud r amazing saleread,0
nice battery backup ia also good size doesnt much better overall everything best priceread,0
headphone good excellent battery cushion not soft want soft cushion go color sme looking headphone go itread,0
really good productread,0
nice product help better long time life,0
headphone extra bassfor gaming cannot useread,0
simply awesomeread,0
good product thisread,0
wrost product liw quality bandread,1
good headphone sound quality awesome bass super goodim satisfied product read,0
headphone bad headacheread,1
bass clarity quality,0
great headphone get fit ear sound good noise cancellation not,0
good headset price range connectivity cutting second movingread,0
product beautiful sexy make hd sound tremble not better,0
sound bass battery back updisappointed built quality overall good product price rangeread,0
cant express goodness good enoughsound outstanding bass outstanding battery backup outstanding everything outstanding productread,0
good quality productsread,0
finally today received product open box got osm headphone like itread,0
voice problem calling not supported pubg play delay,1
awesome quality go read,0
online class not recommended good fit though pain continued use hour music quality best voice quality call video not,1
good sound qualityread,0
superb quality read,0
goodread,0
mic quality poor dont buy calling purposeread,1
love itread,0
bad call soundread,0
good sound quality design go,0
regular customer believe need worry smashing got th august surprised get kind headphone bluetooth wireless bluetooth connectivity really think battery amazing upto also aux connectivity headphone doesnt battery use wired headphone talk,0
good music lover not callingread,0
nice extra bass like read,0
nice use worth priceread,0
super bass sound quality also super call not clear talkingread,0
dont buy colour cotton cushion dont look good prefer one leather air cushion sound quality price range goodbass didnt get much design recommend buy one leather cushion battery notice cancellation also gud recommend buy product sale u get cheap guyz dont buy headphone play pubg bass heaphone disturb gaming u cant get crystal clear,0
awesome product according price value,0
connected wifi,1
amazing read,0
nice prolong use catch irritation earsread,1
good heari buyed blue color nice hear fit head good one value goodread,0
nice product sound quality nice overall designing superb battery performance also good charged go upto day read,0
nice product bettery life goodread,0
tight earread,1
star productbut made chinathats itread,1
worst product design ear unbearable,1
nice product love buy without doubtread,0
sound quality bass good calling not,1
side not month,1
good product easy use bass awsome battery backup use usb cable pubg playing full volume playing make ear ay volume best friendly go black,0
ok quality light weightread,0
nice earphone sound dealy problem playing pubg moblie redmi note read,0
best headphone price segment best get sound quality headphone love boat rockerz,0
no noise cancellation bad call otherwise gud choiceread,1
writing review day using not sure battery back durability long period time looking amazing surely comeback review month give clear picture,0
good product tightread,1
sound quality somewhat goodbut design literally bad feel like something squeezing feel bad even u use min ur head start aching u suitable use,1
heart ear hardly wear mint suggest must improve desineread,1
sound quality mind goodread,0
superb sound read,0
sound quality awesome best bluetooth headphone ever used cant compare big brand yes rupee think best one issue little hard ear use long hour may bcz new rest sound quality amazing bass best music clearread,0
nice product perfect durability impressive nice work boatread,0
best product get price superb boat rockerzz wifi wired awesome recommend buy worth moneyconsyou wont hear anything whatever spoken outside wear itthe bud not comfortable ok not comfortableread,0
not good productread,1
nice warranty year surely problem replace give new,1
decent ive faced no issue eye catching feature found two way connecting connected bluetooth well aux cable provided inside headphone get chargeit remains usable aux cable proper,0
bad,1
product good sound clarity nice bass also good go itread,0
microphone not workingread,1
nice productread,1
feel like listening coolest loudest headphone ever maderead,0
good product sound quality build quality not good u cant put ur ear least hour sound quality connection design build quality read,1
well product look good feel good sound good everything one thing frustrated body build no doubt build quality superb strong way designed put lot pressure ear really painfull personally cant wear min continuously take break every min also closely packed dont allow air go pas sometimes super hot near ear,0
order may day itz work properly suddenly one side speaker not working properly quality product working daysread,1
wow loving superb sound quality happy,0
no productbest volumeread,0
really superb headphone range superb bass fantastic music lover read,0
size small expectedread,0
purpose didnt get solved issue connecting laptop raised request return even tried contact customer care also,1
good product little tighter causing small pain earread,0
sound quality good bass enough price range built quality design not comfortable according price okread,1
awesomei love,0
satisfied purchase price decent buy using past day far encountered no problem battery backup greatread,0
good sound quality high bass go itread,0
voice not clearread,1
totally waste money guy dont buy itread,1
excellent bassexcellent productread,0
good risky useread,1
value product year purchase product never ever complaint product good listening song call receiver facing trouble hearing outside noise overall product gud thank u boatread,0
really amazing read,0
best headphone price u wont disappointed plzzzzzzzzzz buy product pure perfect bass clear sound bluetoothread,0
mic not working properly callsread,1
hello every one aakash hereboat rockerz bluetooth headphone best price great feature good battery backup powerful bass clear sound clarity light weight adjustable easy use bluetooth connectivity great used wired aux everyone want buy headphone go review using day thanksi buy,0
best boatread,0
not,1
excellentread,1
ulitimate sound baseand like easy foldable sound quality goodits battery time strong thanks boat make good awesome product made love boat item read,0
sound bass clarity mind blowingread,0
good volume bass not comfortable use long timeread,0
awesome sound must buyread,0
good niceread,0
really nice best pubg adata cable inside packetread,0
year use top class mike audio somehow not clear reliable product read,0
good quality good style great experience bass boost wireless comfortable pubg also searching good wireless wired headphone best headphone loved itread,0
bought used month simply perfect nothing else sayread,0
super sound aux cable not working properly aux cable facing sound delay pubg,0
extraordinary sound feel ur top world good work boatread,0
purchase price drop flipkart best value money price range quick charging support good build quality decent sound quality one con find ear get little heart long time heard,0
online game like pubg no sound lag latency problem found playing month sound quality heavenly problem way tight big head like band got broke month purchase due tight fitting thanks boat replaced product per new one tightread,0
best quality headphone good battery backup read,0
size reduced loooks like,1
got ear problem used,1
love amezing product nice qualitybest product feature price rangeread,0
good weight good sound comfortable ear good battery backup read,0
cool product mind blowing battery ear feel little bit pain ear using good product nice built quality proper bluetooth connectivity nice bass good bass lover,0
good cloth not goodread,0
go office pick,1
excellent quality best musicread,0
buy dont use long hour uncomfortableread,1
nice sondread,0
sound good go read,0
thinking wether product good not design bought one month ago really satisfied bass sound quality best also love light weight give hr battery ok moreover love clothing soft long last synthetic dont get hot easilyread,0
sound quality bass amazing problem design wear hour youll headache much uncomfortable overall good product bettery backup also,0
bluetooth connectivity brack centerread,1
like,0
everything good little bit tight earsread,0
build quality worst broke within,1
amazing sound super bassbattery life excellent aux cable great quality excellent treble base everything good except design ear paining used hour continuously otherwise great buy got offer read,0
nyc productread,0
feeling pressure earread,1
nice sound really,0
nyc projectread,0
awsomeread,0
hi guyztoday recieved product good packaging time ekart fr fastest opening package saw used seems like someone already used returned hv sent package charging cable seal headphone disappointed fr charging cable used u,1
bass highly recommended boat headsetread,0
star reduced delivery time ever seen flipkart took day deliver product happening flipkart wanted product asap ordered thought take maximum day took day work gonna much disturbed ordered use work listen something daily use late headphone nice got good price r im enjoying update,1
everything good except comfort painful ear use continue min range poor wireless mode foot distance couses noise sound sometimes connection automatically get good,1
good read,0
although best market worth every penny inr never buyed cool headphone must buy one best selling product flipkart yes dont forgot free cable plz like reviewread,0
good productsoung quality,0
good qualityread,0
good productread,0
extent love itread,0
not value money product overpriced quality not good,1
sound good tight head heavy looking price get good sound experience read,0
head band not durable atall used quality everything eles whats use unusable coz breaking head band connects two earcups worst not even included warrentycuz come physical damage not worth buying not atall dureableread,1
superb brilliant mindblowing go never seen wonderful headset not think like sony jbl even variant boat best even within r range,0
ear pain little tight anyways good body not good classy typesread,0
cant wear much,1
awesome product keep,0
really like perfect bass make feel like u theatre hall sound quality neat clean go thank read,0
make ear warm pain earread,0
headphone quite amazingbut main problem headphone earbuds quite short ear not fit face long shaped like problem comfort not comfortable hurt sometime green colour another type cousin really something hurtread,0
function excellent main comfort not goodread,1
headphone best sometime disconnected otherwise best headphone gamingread,0
product good super extra bass working backup best normally hour charging time correct description product box audio plug charger cablewarranty card user manual high definition balanced sound next previous function not working laptop work,0
sound quality good cannot wear minute sooo uncomfortable ear start paining small size feel like somebody pressing ear side great force boat need improve,1
best bluetooth headphone nice bass,1
fabulous outstandingread,0
material nat goddread,1
good product price rangei using three month not noticeable degradationread,0
everything okay except use min tight headn produce unbearable not bye ur head childsread,1
boat rockerz sound quality perfect bass awesome battery life good u see desgin headset not good not comfortable u start using hour ur ear start sweat u feel uncomfortable lock ur ear tightly u loosen wont fit ur ear itll start slipping overall good product low cost boat tought design first,1
nice product not comfortableread,0
listening hr pain start ear design not perfect cannot use continuesread,1
fabulous headset go brought th flipkart pay later policy thanks flipkart giving,0
osm product happy sound be kafi acha hairead,0
headphone great sound build etc good enough problem volume button made soft rubber dont look sturdyread,0
look premium sound also good difficult hard hold ear min bc start causing hard pain wear took online class not work well sound break not come properly also connectivity not good mentioned work good least,1
read,0
good listening song poor voice u buy calling go brand best performanceread,0
month purchase not connecting,1
awesome nice productread,0
tight poor call,1
bakwas haiplease dont byread,1
not great like others mentioned head set okay price range one good thing product battery last long range could see many people mentioned good bluetooth range u keep ur mobile ur pant start losing connectivityu keep hand no issue u cant expect price range ok product u never used sony beat skull candy product,1
boat product lover product like disappoinmentits look really nice design really good sound really nice lower percent not even comfortableear cup soorough start paining couple sound like bit kitkit playing seller say extra bass boosted no not extra bass boostedeven treble bit higher normal,1
delivery good packaging also build quality average dont expect much vocal bit high bass good enough price range connectivity not great average overall good price range,0
good headphone must buy thanks flipkart deleverying product,0
rockerz branded easy use good sound quality best bluetooth headphone price range design also fine bluetooth range max one room another talk built mic call dont need hold phone near youi got best kam mai koi bhi branded bluetooth headphone nhi,0
round head little bit fat dont go really tight ear headphone pain ear minute usage regarding bluetooth connectivity old headphone launched year back us bluetooth range le say meter thr box getting meter straight line without hindrance phone redmi note pro sometimes,1
outstandingread,0
no bass qualitybut awesomenice productsread,0
bluetooth connectivity not goodread,1
nice kit online class son using comfortablyread,0
worst headset u get know long run please dont buy thisread,1
ear pain assured within min used sound quality extra ordinary dont recommend comfortablity priorityread,1
good product niceread,0
ear get packed high soundread,1
good headphone ear hurtingread,0
using month bluetooth not connected tha phone bluetooth isue,1
good thissread,0
worse qualityread,1
headset tight creates pain ear even within,1
battery backup not good mic not proper work not happy product read,1
nice bluetooth headphone pleased performance day use u prefer price sound quality best comparision,0
highly recommended good sound quality battery backup good no ear painafter day usage bluetooth also nicely work overall good performance premium qualityread,0
well good headphone purchasing gym dancing dont headphone fell easily even adjuster get loosed easily purchasing listen song go read,0
dont buy worst build qualityread,1
nice headphone good useread,0
amazing sound quality bass amazing like crystal clear soundread,0
use half hour u get ear painread,0
best bass not comfortable earssound quality read,0
work great music stutter come dialogue keep volume high enough problem go away little uncomfortable long use overall satisfied productread,1
fabulous product priceread,0
best buy pls check unboxing video well online shop vice customer alwaysread,1
good sound quality reasonable price colour amazing volume set not much good semi comfortable wearing purpose good productread,0
bad product boat poor sound quality even u cannot answer call due distarbance soundi asked return peace also damaged according model boat not worth buying go model,1
nice producti loved itread,0
bass awesome read,0
best,0
worst quality third class headset not even month withstood broke waste,1
use yr satisfied product sound quality awsome loud lover bestread,0
base good equaliser need improveread,1
good music bassread,0
amazing product still using purchased last year flipcart amazing worth money enjoy thr music read,0
good battery good use minute humare kaan dard hone lag jaata hread,1
bad ear cufs nd tight dont buy headfone money nd dont refund replaceread,1
pro voice quality goodbass sound surround goodcons bluetooth connectivity range lessindications low battery not,0
left speaker not working month usedread,1
super bass nice chicken flap function could done good cushion softread,0
month continuous use broken middle head restread,1
good product bass not much clear overall product goodread,0
nice product yrrread,0
osm bass amazing battery backupread,0
comfortable bass bussterread,0
cushion soft using hour ear would painalthough sound built quality goodread,0
product jst osm delivery product worst box opened please take thatread,1
sound quality material looking,0
dont ever buy worst headset ever look good thats allread,1
toooooooo goodread,0
sound good battery backup poor drain hr post full,1
good sound clear voice clarity call comfortable cushion protection ear doesnt give pain although used long time recommend itread,0
besf headphone till thank flipkart read,0
thank flipkartread,0
really nice product music base goodread,0
battery backup okay generally give hr usage full charge battery die number time notifies get irritating wont able listen anything except notification battery microphone performance really bad seems like talking ear pad small comfortable use min want use hour not good start hurting,1
awesome cool hear hitting coreread,0
nice not replacementread,0
good useful headphone good quality sound easy button,0
everything best whenever online class make creepy voice convestion convertion also good gaming musicread,1
not proper use callingread,1
excellent product must buy delivery service good flipkart delivery boy also calm goodread,0
awesome product boat bass also good look wise goodread,0
nice product initially not working clear putting full charge start working fine sound clarity clear superread,0
ear start paining min used comfortable bad experience used time please dont buy dz,1
using ear paining make soft comfortable earsread,1
no word stunning amazing sound bass boosted high level battery backup good one best market read,0
nice sound bass also looking also good much light weight like itread,0
one word excellentread,0
nice money bit uncomfortable long time usage bluetooth sometimes doesnt work even phone pocket decent battery backupoverall nice product scope improvementread,0
nice kid happy enjoyedread,0
best head phoneread,0
boat always make quality,0
good face problem bluetooth connection not connectingread,0
microphone not work properly otherwise,1
consbluetooth range le put mobile power button side headphone side otherwise sound no volume button provided build quality goodcomfortable earear bud detachable washablebattery backup ok,1
love product read,0
amazing fulfill expectation recommendread,0
loved much read,0
good soundread,0
awesome people love bass definitely go connectivity work fine positioning creates problem talking call backup good not great not,0
best product r bass awesome go read,0
made china designed usread,1
sound quality badread,1
vara levelread,0
cant wear hourread,1
nice product best sound qualityread,0
bass not goodread,1
good product best priceread,0
using year headphone goodread,0
bad product stopped working,1
waste moneyread,1
awesome amazing bass clear soft sound lover go dis price crystal clear playback wireless give lot,0
tight head mint wearing product painful hears also jaw sectionread,1
good cool environment mic not good much,1
nice,1
good not superbread,1
size bit smallother featuresread,1
not compatible trying feel good taking otherwise returning itread,1
im happy product honest review headphone favorite im happy thank filipkartread,0
tight head tried refund said not get refund product thag no quality issue whats point online shopping hope product fit else let gohighly,1
sound ok sometimes not workread,1
no dought sound good heavy base mic quality low cant make call regular useread,0
awesome light weight nice productread,0
disconnecting attending callsread,1
tight fitting not good cusion need comfortablebut good time little bit comfortable otherwise goodread,0
product superb nice bass sound quality amazing battery backup also gud go worth spending moneyread,0
overall wont disappoint u nice buyread,0
good head phone one problem attend voice call voice not clear person rest music goodread,0
charging issue started awesome chargeread,0
best headphone got effect good comfort headphone amazing best part bass vch sound awesome experienced problem thus boat connect bluetooth n listening song phone pocket break audio due bluetooth connectivity ur hand no issue u keep phone pocket n play music get stuck apart product,0
nice product battery backup not good function goodread,0
tried time received defective product call quality veri bad disappointed lread,1
bass nd sound good read,0
super must buyread,0
love product good sound quality backup love colour n design thank u flipkartread,0
good product like,0
best choice read,0
good every thingread,0
sound good highly recommend love hear songsread,0
like product sound quality bass good issue pain much remove time rest,0
ear paining used long timeread,0
fantastic product boat best product bass type bettery backup good begining hurt minute slowly not hurting much deal itread,0
really rock gifted daughter birthday like top world put ear pair mobile play music pair learning tab study tv noise cancellation amazing said best gift ever goti really thankful read,0
dont buy bluetooth not working properlyread,1
work better wireless mode wired mode bit irritating overall really good im contented,0
one ear headphone stopped working week contacted boat customer care asked register complaint registration section tried upload purchase invoice thousand time show failed upload ideally lost money suffering defective product thanks boat flipkart good customer service hat,1
not good use minute single ear start feel painread,1
great headphone also good fast time tight goodread,0
worse noice cancellation everyone room hear,1
sound quality good headset grippy not comfortable use,1
awesome product prize deal phone pe app get r good sound quality go itread,0
tight exert much pressure head painfullread,1
great quality reasonable,0
super sound awesome bass good dj song battery back also good got aginst r really nice headphoneread,0
sound good not adjustable cover whole ear purchasing still comfortable earread,1
connecting issue time sound good wired use three month,1
excellent sound qualityread,0
huge problem bluetooth connectivity listen musicread,1
overall good item little bit problem lower alright not big dealread,1
problem faced even replacing product defectiveread,1
must buy nice quality time,0
good thnx filpkartread,0
nice product dont liked muchread,1
produce continuous cracked beep sound used bluetooth low volume drop good little tight ear become uncomfortable used long period time build quality not much great aux cable usb low quality think aux cable changed bcoz didnt boat,1
awesome product thanks flipkartread,0
good quality good sound battery backup may better cut one,0
really pathetic within purchase week overhead part headphone torn crack become wastage refund,1
kind suffocating ear tight volume button not responsive compared jbl infinity definitely bassy compared model price range overall ok,1
good product amejinread,0
sound good bass also play pubg bluetooth not better experience pubg use aux battery bestread,0
dont buy headphone agree bass sound quality good body build quality poor break left side writing review week buying poor headphone used carefully band breaked thus see image read,1
sound quality good bass awsm not comfortable ear foam material softer great product price range got big billion daysread,0
music hit doesnt hurt headphone doesquality design bass lovable gonna last long made metal little tight end thats gonna hurt ear unfortunately red black mic doesnt work thinkif dont mind hurt product youfebboat service,0
using day found nice product buy good sound good bluetooth range usb cable also given overall good product buy average price rangeread,0
thing headfone bassconnectivitybattery backupcharginglook star since not comfortable,1
amazing product also get wire use headfones not charged must buyread,0
goooooooooooood product best,0
using headphone year good headphone bass battery backup take hour day full charging design build quality sound quality value money boat rockerz bluetooth headset best rupeesread,0
good product read,0
gud nice productread,0
not comfortable harsh,1
ur ear made iron go worst experience everu cant use headphone min cause ear pain af worst gadget purchased everread,1
connectivity,0
dont buy music average worst part comfort im getting irritated min use feeling like ear got burningread,1
nice excellent product read,0
great value money got k bbd sound quality excellent build quality ok battery life great cant ask,0
awesome product boat rockerz must buy product awesome build quality sound superb got gut needed headphone completely,0
best thats best pubgread,0
bad mic almost impossible talk phone callread,1
best isread,0
u buy elselyread,0
built quality bad sound bass good built tooo badread,1
got bbd sale using almost year never let greatest price range easily give hr battery backup full charge full charge within hour even year used give backup upto hr continuous listening still best price go,0
reviewing product month usage bass good build quality good cause little pain initial day wearing difference quality audio heared using bluetooth using,0
awesome good musicread,0
worthy moneyread,0
osam bassread,0
good headset worth,0
purchased big billion day pro sound quality base connectivity bluetooth no disturbance running lagging sound personally impressed battery backup also great listening song hr battery drained charging could better still no problem full charge hr top class look attention seeker especially colour,0
honest review month use bought bass lover go without base punchy feel ear vibrate thispros punchy bass dont know headset provide much bass mids treble crystal clear hear every instrument battery backup excellent im getting upto day moderate use used accordingly push upto week charge,0
bought headphone flipkart sale january r student first priority buy headphone wireless sound decent boat headphone provided feature affordable price month usage sharing unbiased review product form pro great wireless headphone affordable price range decent sound similarly decent bass not high not flat either saw,0
becomes silent listening audio mic doesnt work,1
good quality good deliveryread,0
superbbbbbbread,0
well sound quality amazing bass good headphone fit little tight first may cause little pain surrounding area,0
good quality bass sound high durability battery backup also good nice optional aux cable discharged become wired headphone depend phone,0
everything betrer sound quality awesome battery backup good not excellent design lovely look love thank flipkart thank u,0
kiraak sound quality superb bass nyc productread,0
product nice without cable sound footstep pubg little bit bumpyread,0
awesome product using proit give hour battery backup guy want buy product go ahead buy ill recommend everyone best,0
really good productbut taking call noise takenread,0
attractive designawsm sound claritybass also good u boatread,0
sound quality superb earphone cord connect bluetooth sound doesnt feelread,1
till everything working fine sound good product also nice one problem bt range say power not good read,0
best onei really loved itread,0
best headphone price range wow bass super good noise cancellation every,0
bluetooth connection,1
best headphone hd sound quality noise cancellationread,0
one side speaker not,1
best headphone travelling easy keep battery backup awesome usually recharge battery day not good use long time comfortable hour ur ear start paining u keep long please use,0
star flipkart fast delivery star product overall build quality ok power volume button look cheap fear anything button come headphone used wireless wired box aux cable connected bluetooth laptop hear lot noise disappears soon switch wired mode battery backup ok expected better performance,1
dont purchase use hour ear getting pain no bass headphoneread,1
bass good sound clarity bit le sometimes compromise bass sound clarity,1
excellent product sound quality goodread,0
product good quality product one really tough strong not damage dropped something like happens no problem really harder nice quality soundread,0
nice prodect best sound system nice bassnice lookvellu moneyread,0
really fantastic productexcellent battery backup much hoursbuild quality excellentsound also superbvery light weightread,0
quality poorread,1
damageread,1
average quality go want something low,0
amazing sound super bass beautiful product low free,0
better headset good sound quality well bass suit personality easy carryread,0
sound quality really awsomeread,0
sound problemsread,1
always boatread,0
best audio quality headphone read,0
awesome build satisfactory sound overall great product led light isnt,0
love music loversread,0
wowread,0
tight earsread,1
osm sound,0
good pair headphone everything good bass amazing vocal not crystal clear ear cup small read,0
nice impressive sound bass not goodread,0
good gaming performance not highread,0
connect headphone bluetooth going create problem bass otherwise look pretty nice aux connectivity better must say got nice product rupee size headphone precisely small adult perfect teenager battery backup pretty nice create problem bluetooth connectivity sometimesread,1
not product durationread,1
best audio output useful wired wirelessaux good gaming pubg good bass battery backup still working good using weeksread,0
good product boat loved itread,0
awesome product well deaigned superb sound quality nd bass satisfied productread,0
averageread,1
enjoy superread,1
